Scenario,Below 2°C,Below 2°C,Below 2°C,Below 2°C,Below 2°C,Below 2°C,Below 2°C,Current Policies,Current Policies,Current Policies,Current Policies,Current Policies,Current Policies,Current Policies,Delayed transition,Delayed transition,Delayed transition,Delayed transition,Delayed transition,Delayed transition,Delayed transition,Fragmented World,Fragmented World,Fragmented World,Fragmented World,Fragmented World,Fragmented World,Fragmented World,Low demand,Low demand,Low demand,Low demand,Low demand,Low demand,Low demand,Nationally Determined Contributions (NDCs),Nationally Determined Contributions (NDCs),Nationally Determined Contributions (NDCs),Nationally Determined Contributions (NDCs),Nationally Determined Contributions (NDCs),Nationally Determined Contributions (NDCs),Nationally Determined Contributions (NDCs),Net Zero 2050,Net Zero 2050,Net Zero 2050,Net Zero 2050,Net Zero 2050,Net Zero 2050,Net Zero 2050
Variable,CO2|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|95.0th Percentile,CH4|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|50.0th Percentile,Aerosols|MAGICCv7.5.3|95.0th Percentile,CO2|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|95.0th Percentile,CH4|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|50.0th Percentile,Aerosols|MAGICCv7.5.3|95.0th Percentile,CO2|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|95.0th Percentile,CH4|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|50.0th Percentile,Aerosols|MAGICCv7.5.3|95.0th Percentile,CO2|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|95.0th Percentile,CH4|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|50.0th Percentile,Aerosols|MAGICCv7.5.3|95.0th Percentile,CO2|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|95.0th Percentile,CH4|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|50.0th Percentile,Aerosols|MAGICCv7.5.3|95.0th Percentile,CO2|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|95.0th Percentile,CH4|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|50.0th Percentile,Aerosols|MAGICCv7.5.3|95.0th Percentile,CO2|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|95.0th Percentile,CH4|MAGICCv7.5.3|50.0th Percentile,CH4|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|5.0th Percentile,Aerosols|MAGICCv7.5.3|50.0th Percentile,Aerosols|MAGICCv7.5.3|95.0th Percentile
Unit,ppm,ppb,ppb,ppb,W/m^2,W/m^2,W/m^2,ppm,ppb,ppb,ppb,W/m^2,W/m^2,W/m^2,ppm,ppb,ppb,ppb,W/m^2,W/m^2,W/m^2,ppm,ppb,ppb,ppb,W/m^2,W/m^2,W/m^2,ppm,ppb,ppb,ppb,W/m^2,W/m^2,W/m^2,ppm,ppb,ppb,ppb,W/m^2,W/m^2,W/m^2,ppm,ppb,ppb,ppb,W/m^2,W/m^2,W/m^2
2055,"455,1386686","1824,695898","1774,460381","1717,998557","-0,518984171","-0,338655665","-0,152109337","509,2381132","2284,693016","2227,034398","2163,620784","-0,981826061","-0,661321996","-0,324522459","462,2671775","1884,112487","1831,210935","1771,885983","-0,514503514","-0,334838989","-0,150757536","482,8178669","2144,895911","2088,863792","2027,735761","-0,763763899","-0,506292208","-0,238697246","437,603145","1712,18314","1666,143381","1615,012711","-0,407607226","-0,259060382","-0,115905084","495,6006188","2174,418303","2117,7156","2055,64825","-0,846372266","-0,565660132","-0,269670292","432,3988862","1699,423136","1652,506664","1599,821449","-0,371499225","-0,230516691","-0,096313282"
2060,"453,1370971","1796,689407","1742,911305","1681,066679","-0,454803619","-0,293064202","-0,133609864","523,6070498","2321,536335","2255,355925","2182,056041","-0,950873364","-0,638960669","-0,316664151","459,1265672","1844,742461","1788,291707","1723,998984","-0,477927668","-0,310961961","-0,144748659","487,4642169","2161,686844","2099,20905","2029,499105","-0,708816536","-0,471545119","-0,224433488","432,1761129","1670,388572","1621,966296","1565,936727","-0,393347007","-0,248604743","-0,112127322","505,0449393","2188,554571","2125,468684","2055,011099","-0,797498739","-0,52994262","-0,251894324","426,8864252","1655,184432","1606,597623","1549,306237","-0,364976565","-0,226921439","-0,095181018"
2065,"449,7916021","1768,981118","1711,783542","1646,062784","-0,396206031","-0,253146978","-0,113140773","538,3736615","2341,769427","2268,809504","2186,472337","-0,923570633","-0,616494605","-0,310894505","454,989458","1808,142131","1748,709382","1679,767537","-0,38993042","-0,249135166","-0,110330415","492,0691122","2171,345602","2104,113759","2026,856064","-0,677825428","-0,442760172","-0,212479078","427,1985886","1644,270276","1594,04173","1534,257012","-0,361855773","-0,223837107","-0,094879743","513,9351177","2192,141767","2122,962197","2044,933643","-0,752099367","-0,501033741","-0,238151873","421,437307","1626,261026","1576,188154","1515,995449","-0,340325252","-0,205305062","-0,082469864"
2070,"446,015567","1738,184072","1679,579401","1610,537481","-0,354685518","-0,220126233","-0,092309683","553,4904152","2349,871798","2269,831252","2179,974275","-0,895919966","-0,595507784","-0,301163888","450,6268038","1770,036994","1707,968695","1634,938909","-0,354991018","-0,219067513","-0,093552799","496,8407764","2176,042823","2102,550399","2017,672043","-0,639794367","-0,421167193","-0,20440029","422,6117136","1626,518136","1576,040567","1515,059874","-0,350370348","-0,214674376","-0,088456114","522,1052049","2185,376198","2110,112499","2024,235954","-0,706905446","-0,468390578","-0,224306155","416,7714714","1606,832628","1556,704515","1495,460791","-0,329920904","-0,198822547","-0,079822927"
2075,"441,7773563","1702,100138","1642,258043","1570,829423","-0,328567822","-0,197831266","-0,080268732","568,7172633","2345,420634","2258,883642","2161,583697","-0,864086653","-0,573486711","-0,292687796","446,5312719","1731,161133","1668,393264","1593,561897","-0,338317494","-0,204172231","-0,084197596","501,8337895","2173,721511","2095,486471","2004,686563","-0,60973015","-0,402496969","-0,196009456","418,6573863","1614,213999","1563,243292","1500,569075","-0,336929226","-0,203013859","-0,083352102","529,79704","2167,288641","2087,275734","1993,943522","-0,671982911","-0,438644368","-0,211409712","412,7624867","1592,574643","1542,577723","1479,940536","-0,320657711","-0,190761993","-0,072740912"
2080,"437,2872987","1670,547461","1611,220896","1538,1247","-0,334497444","-0,201952546","-0,084070168","583,9433001","2331,043119","2237,602762","2132,194125","-0,835145883","-0,553374538","-0,283750196","442,1000016","1694,871449","1632,484297","1556,109176","-0,324224621","-0,193223829","-0,074791628","507,1543544","2167,091579","2084,736766","1988,570338","-0,593777345","-0,391033326","-0,187433864","415,0736534","1604,642996","1553,819894","1489,013701","-0,322428488","-0,19214592","-0,072618181","536,7491224","2140,871673","2056,362422","1958,609545","-0,629429451","-0,414210714","-0,19681818","408,5008944","1581,66341","1531,776317","1467,954535","-0,311046934","-0,181263417","-0,061067764"
2085,"433,598699","1658,297711","1599,162532","1524,419316","-0,333517267","-0,201218551","-0,083834533","599,1694129","2307,61372","2209,002973","2096,101944","-0,812403033","-0,53834174","-0,273902726","438,3620674","1669,708817","1607,868588","1530,287114","-0,341531079","-0,208025486","-0,08814318","513,0141789","2158,02892","2072,25781","1969,346494","-0,584383112","-0,382887774","-0,178832554","411,2457261","1596,38576","1545,647941","1479,741871","-0,310888404","-0,181360427","-0,059983736","543,3226934","2108,183372","2020,314521","1918,294098","-0,602079629","-0,393753814","-0,185912866","404,8873797","1572,51243","1523,189905","1457,591672","-0,301673351","-0,173149447","-0,052208314"
2090,"430,1045928","1657,567629","1598,548896","1522,154295","-0,326161107","-0,1953166","-0,076758636","614,5911634","2280,441968","2176,842718","2058,408041","-0,794846187","-0,522460946","-0,264975844","434,7539894","1663,293007","1601,984914","1522,765869","-0,331563591","-0,199311358","-0,081974793","519,2195586","2148,345007","2059,377189","1951,744218","-0,572435744","-0,373324234","-0,174249951","407,7273906","1590,130692","1539,568513","1471,861774","-0,300226726","-0,172040785","-0,048588184","549,5004414","2072,425468","1982,448459","1876,831132","-0,574987399","-0,373405345","-0,172693129","401,0556605","1565,574228","1516,614523","1450,665458","-0,290998359","-0,163962319","-0,040229806"
2095,"426,6877087","1660,558146","1601,240022","1523,861493","-0,321317436","-0,188172542","-0,065094048","629,7291365","2247,651258","2141,515014","2016,094451","-0,780475455","-0,507996765","-0,255280782","431,2407965","1663,920656","1602,694392","1523,689278","-0,323089993","-0,191128259","-0,071640889","525,7081256","2135,483854","2043,769538","1932,684515","-0,563525591","-0,365137271","-0,16755972","404,2247223","1583,303882","1532,808759","1464,86869","-0,286875815","-0,161202577","-0,035675732","555,3116962","2035,104886","1942,308536","1833,276399","-0,54509613","-0,349944394","-0,162355392","397,5982631","1557,745664","1508,829902","1443,330108","-0,278977036","-0,15492555","-0,02944637"
2100,"423,7875608","1664,136378","1604,641728","1526,298775","-0,311007413","-0,181754278","-0,056724162","644,7940723","2211,869592","2102,793531","1973,335029","-0,764629364","-0,494575848","-0,245921952","428,1055845","1666,998749","1605,9499","1525,271558","-0,314357537","-0,183723524","-0,058658594","532,2761682","2119,658837","2025,77918","1911,664502","-0,555085994","-0,357038381","-0,158110076","400,868738","1574,796875","1524,476954","1457,508678","-0,277060096","-0,152552144","-0,025625947","560,067694","1998,806067","1904,179694","1791,213792","-0,516641813","-0,331314601","-0,149478049","394,023929","1548,590845","1499,813824","1434,683092","-0,269966724","-0,145417752","-0,0204877"
